"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\context\proyectos\proyectoReducer.js", "JavaScript", 53, 0, 0, 0, 0, 0, 2, 55
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\context\proyectos\proyectoState.js", "JavaScript", 114, 0, 0, 0, 0, 8, 21, 143
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\context\tareas\tareaContext.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\context\tareas\tareaReducer.js", "JavaScript", 51, 0, 0, 0, 0, 0, 1, 52
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\context\tareas\tareaState.js", "JavaScript", 104, 0, 0, 0, 0, 9, 20, 133
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\index.css", "CSS", 0, 333, 0, 0, 0, 4, 26, 363
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 3, 3, 13
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\serviceWorker.js", "JavaScript", 92, 0, 0, 0, 0, 31, 13, 136
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\types\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"Total", "-", 1282, 333, 13609, 258, 22, 131, 372, 16007
