"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-27-57\details.md", "Markdown", 34, 0, 0, 6, 40
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-27-57\diff-details.md", "Markdown", 14, 0, 0, 6, 20
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-27-57\diff.md", "Markdown", 17, 0, 0, 7, 24
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-27-57\results.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-27-57\results.md", "Markdown", 25, 0, 0, 7, 32
"Total", "-", 90, 1, 0, 26, 117
