"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-02-53\details.md", "Markdown", 29, 0, 0, 6, 35
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-02-53\diff-details.md", "Markdown", 14, 0, 0, 6, 20
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-02-53\diff.md", "Markdown", 17, 0, 0, 7, 24
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-02-53\results.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_19-02-53\results.md", "Markdown", 24, 0, 0, 7, 31
"Total", "-", 84, 1, 0, 26, 111
